"","lon","lat","events_location","events_title","events_time","events_location"
"1",-79.3831843,43.653226,"toronto, on, canada","NewCo Toronto 2016","Thu, 15 Sep
                    7:00 AM","Toronto"
"2",-79.3831843,43.653226,"toronto, on, canada","Growth Hacking Tactics for 2016  [Toronto]","Tue, 4 Aug
                    9:50 AM","Toronto"
"3",-79.3831843,43.653226,"toronto, on, canada","Tomorrow's Transactions Annual Unconference - Toronto","Thu, 29 Sep
                    8:30 AM","Toronto"
"4",-81.615515,28.823874,"arcadian ct, mt dora, fl 32757, usa","#FinTechTO","Thu, 18 Aug
                    8:00 AM","Arcadian Court"
"5",-79.4402808,43.8828401,"richmond hill, on, canada","CANADA - ISRAEL Technology event - June 28","Tue, 28 Jun
                    12:00 PM","Richmond Hill Municipal Building (Town’s Hall)"
"6",-81.6990628,41.4954766,"the flats, cleveland, oh 44113, usa","Industry 2016 | The Product Conference","Thu, 15 Sep
                    9:00 AM","Music Box, The Flats, Downtown Cleveland"
"7",-79.395746,43.658805,"college st at st george st, toronto, on m5s, canada","MLX: Machine Learning Fintech Conference","Wed, 26 Oct
                    8:30 AM","University of Toronto - St. George Campus"
"8",-79.3831843,43.653226,"toronto, on, canada","Innovation Hackathon","Fri, 24 Jun
                    8:00 AM","Toronto"
"9",-83.7430378,42.2808256,"ann arbor, mi, usa","iiE June 2016 Ann Arbor Gathering","Wed, 22 Jun
                    1:00 PM","Ann Arbor"
"10",-79.4402808,43.8828401,"richmond hill, on, canada","CANADA - ISRAEL Technology event","Tue, 28 Jun
                    12:00 PM","Richmond Hill Municipal Building (Town’s Hall)"
"11",-97.1437302,49.7866568,"ryerson ave, winnipeg, mb r3t, canada","Microsoft Machine Learning Workshop","Thu, 7 Jul
                    6:00 PM","The Launch Zone at Ryerson University"
